Dst Port,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Mean,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Min,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Byts,Subflow Bwd Byts,Init Fwd Win Byts
80.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,102.0,102.0,64.0,0.0,19607.84314,0.0,0.0,0.0,0.0,225.0
80.0,322.0,935.0,322.0,107.3333333,935.0,233.75,38600.0,19300.0,38318.0,282.0,104.0,136.0,71.77376908,107.3333333,233.75,322.0,935.0,26883.0
80.0,334.0,935.0,334.0,111.3333333,935.0,233.75,28509.0,14254.5,28184.0,325.0,104.0,136.0,97.90803172,111.3333333,233.75,334.0,935.0,26883.0
80.0,417.0,935.0,417.0,139.0,935.0,233.75,26557.0,13278.5,26225.0,332.0,104.0,136.0,91.36313802,139.0,233.75,417.0,935.0,26883.0
80.0,337.0,935.0,337.0,112.3333333,935.0,233.75,31319.0,15659.5,30963.0,356.0,104.0,136.0,94.81668774,112.3333333,233.75,337.0,935.0,26883.0
80.0,313.0,935.0,313.0,104.3333333,935.0,233.75,12460.0,6230.0,11806.0,654.0,104.0,136.0,43.38583019,104.3333333,233.75,313.0,935.0,26883.0
80.0,366.0,935.0,366.0,122.0,935.0,233.75,7363.0,3681.5,5658.0,1705.0,104.0,136.0,63.11803072,122.0,233.75,366.0,935.0,26883.0
80.0,361.0,935.0,361.0,120.3333333,935.0,233.75,5441.0,2720.5,3421.0,2020.0,104.0,136.0,61.68016777,120.3333333,233.75,361.0,935.0,26883.0
80.0,295.0,935.0,295.0,98.33333333,935.0,233.75,7190.0,3595.0,4330.0,2860.0,104.0,136.0,364.6086534,98.33333333,233.75,295.0,935.0,26883.0
80.0,340.0,935.0,340.0,113.3333333,935.0,233.75,11756.0,5878.0,11488.0,268.0,104.0,136.0,120.1537969,113.3333333,233.75,340.0,935.0,26883.0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,115.0,115.0,64.0,0.0,17391.30435,0.0,0.0,0.0,0.0,225.0
80.0,359.0,935.0,359.0,89.75,935.0,233.75,29426.0,9808.666667,28581.0,266.0,136.0,136.0,131.9000198,89.75,233.75,359.0,935.0,26883.0
80.0,397.0,935.0,397.0,132.3333333,935.0,233.75,35376.0,17688.0,35053.0,323.0,104.0,136.0,47.29921483,132.3333333,233.75,397.0,935.0,26883.0
80.0,352.0,935.0,352.0,117.3333333,935.0,233.75,41937.0,20968.5,41647.0,290.0,104.0,136.0,67.77516718,117.3333333,233.75,352.0,935.0,26883.0
80.0,354.0,935.0,354.0,118.0,935.0,233.75,11797.0,5898.5,8190.0,3607.0,104.0,136.0,44.12218905,118.0,233.75,354.0,935.0,26883.0
80.0,369.0,935.0,369.0,123.0,935.0,233.75,50357.0,25178.5,50108.0,249.0,104.0,136.0,45.40432552,123.0,233.75,369.0,935.0,26883.0
80.0,300.0,935.0,300.0,100.0,935.0,233.75,288.0,144.0,272.0,16.0,104.0,136.0,1744.186047,100.0,233.75,300.0,935.0,26883.0
80.0,401.0,935.0,401.0,133.6666667,935.0,233.75,11049.0,5524.5,8067.0,2982.0,104.0,136.0,54.93700557,133.6666667,233.75,401.0,935.0,26883.0
