name,DT,RF,ERF,rank
duration,1,8,10,6.333333333333333
protocol_type,1,1,1,1.0
service,1,1,1,1.0
flag,1,1,1,1.0
src_bytes,1,1,1,1.0
dst_bytes,1,1,8,3.3333333333333335
land,6,19,18,14.333333333333334
wrong_fragment,4,4,4,4.0
urgent,14,18,20,17.333333333333332
hot,1,2,6,3.0
num_failed_logins,2,13,12,9.0
logged_in,1,3,1,1.6666666666666667
num_compromised,1,5,9,5.0
root_shell,9,15,14,12.666666666666666
su_attempted,17,20,19,18.666666666666668
num_root,18,12,13,14.333333333333334
num_file_creations,8,14,15,12.333333333333334
num_shells,10,17,17,14.666666666666666
num_access_files,19,16,16,17.0
num_outbound_cmds,21,21,22,21.333333333333332
is_host_login,22,22,21,21.666666666666668
is_guest_login,20,11,11,14.0
count,1,1,1,1.0
srv_count,7,1,3,3.6666666666666665
serror_rate,1,1,1,1.0
srv_serror_rate,16,1,1,6.0
rerror_rate,5,7,1,4.333333333333333
srv_rerror_rate,15,10,5,10.0
same_srv_rate,12,1,1,4.666666666666667
diff_srv_rate,1,1,1,1.0
srv_diff_host_rate,11,9,7,9.0
dst_host_count,1,1,1,1.0
dst_host_srv_count,1,1,1,1.0
dst_host_same_srv_rate,1,1,1,1.0
dst_host_diff_srv_rate,1,1,1,1.0
dst_host_same_src_port_rate,1,1,1,1.0
dst_host_srv_diff_host_rate,1,1,1,1.0
dst_host_serror_rate,1,1,1,1.0
dst_host_srv_serror_rate,3,1,1,1.6666666666666667
dst_host_rerror_rate,1,1,1,1.0
dst_host_srv_rerror_rate,13,6,2,7.0
