protocol_type,service,flag,src_bytes,count,serror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_rerror_rate
1,22,9,267,4,0.0,0.0,155,255,1.0,0.0,0.01,0.03,0.01,0.0
1,22,9,327,33,0.0,0.0,151,255,1.0,0.0,0.01,0.03,0.0,0.0
1,22,9,350,8,0.0,0.0,71,255,1.0,0.0,0.01,0.04,0.0,0.0
1,22,9,213,24,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,246,16,0.0,0.0,35,255,1.0,0.0,0.03,0.05,0.0,0.0
2,45,9,45,505,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0
1,22,9,277,17,0.0,0.0,36,255,1.0,0.0,0.03,0.02,0.0,0.0
1,22,9,294,22,0.0,0.0,180,255,1.0,0.0,0.01,0.01,0.0,0.0
2,45,9,54,511,0.0,0.0,255,255,1.0,0.0,0.83,0.0,0.0,0.0
1,22,9,301,15,0.0,0.0,20,255,1.0,0.0,0.05,0.02,0.05,0.0
1,22,9,209,11,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,277,13,0.0,0.0,13,255,1.0,0.0,0.08,0.01,0.0,0.0
1,22,9,321,29,0.03,0.0,29,255,1.0,0.0,0.03,0.04,0.03,0.0
1,22,9,54540,4,0.0,0.0,255,250,0.98,0.01,0.0,0.0,0.0,0.06
2,45,9,46,68,0.0,0.0,255,255,1.0,0.0,0.26,0.0,0.0,0.0
1,22,9,318,3,0.0,0.0,3,156,1.0,0.0,0.33,0.04,0.0,0.0
1,18,9,160,1,0.0,0.0,255,37,0.15,0.02,0.0,0.0,0.0,0.44
1,22,9,229,1,0.0,0.0,21,255,1.0,0.0,0.05,0.04,0.0,0.0
1,22,9,282,8,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,19,9,283618,2,0.0,0.0,7,10,0.86,0.29,0.86,0.2,0.0,0.0
1,22,9,233,3,0.0,0.0,255,197,0.77,0.02,0.0,0.0,0.0,0.0
1,22,9,257,2,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,214,30,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,203,19,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,320,8,0.0,0.0,85,253,1.0,0.0,0.01,0.04,0.0,0.0
1,22,9,358,11,0.0,0.0,81,255,1.0,0.0,0.01,0.03,0.0,0.0
1,22,9,270,2,0.0,0.0,7,255,1.0,0.0,0.14,0.04,0.0,0.0
1,22,9,219,4,0.0,0.0,4,251,1.0,0.0,0.25,0.08,0.0,0.0
1,22,9,258,26,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,22,9,324,5,0.0,0.0,69,255,1.0,0.0,0.01,0.01,0.0,0.0
1,22,9,236,3,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
1,49,9,0,1,0.0,0.0,110,25,0.23,0.13,0.01,0.0,0.0,0.0
1,49,9,995,1,0.0,0.0,62,42,0.66,0.05,0.02,0.05,0.0,0.0
1,55,9,197,1,0.0,0.0,248,32,0.13,0.03,0.0,0.0,0.0,0.0
1,22,9,197,2,0.0,0.0,26,229,1.0,0.0,0.04,0.05,0.0,0.0
1,55,9,0,1,0.0,0.0,255,69,0.27,0.03,0.0,0.0,0.0,0.11
1,22,9,224,3,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0
2,45,9,48,5,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0
1,22,9,303,6,0.0,0.0,30,255,1.0,0.0,0.03,0.01,0.0,0.0
1,17,9,8,1,0.0,0.0,74,10,0.04,0.31,0.01,0.2,0.01,0.0
2,11,9,43,208,0.0,0.01,255,254,1.0,0.01,0.01,0.0,0.0,0.0
1,55,9,124,2,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.02
2,11,9,42,7,0.0,0.0,220,220,1.0,0.0,0.0,0.0,0.0,0.0
2,11,9,42,13,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0
