protocol_type,service,flag,src_bytes,count,serror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_rerror_rate,actual,predict
1,45,1,0,229,0.0,0.06,255,10,0.04,0.06,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,136,0.0,0.06,255,1,0.0,0.06,0.0,0.0,0.0,1.0,dos,dos
1,49,9,1022,1,0.0,0.0,255,28,0.11,0.72,0.0,0.0,0.0,0.72,normal,dos
1,55,9,0,1,0.0,0.0,255,128,0.5,0.01,0.0,0.0,0.0,0.66,outlier,dos
1,49,9,616,1,0.0,0.0,255,129,0.51,0.03,0.0,0.0,0.0,0.33,normal,dos
1,45,1,0,111,0.0,0.07,255,2,0.01,0.07,0.0,0.0,0.0,1.0,dos,dos
1,45,1,0,204,0.0,0.07,255,18,0.07,0.07,0.0,0.0,0.0,1.0,dos,dos
1,28,1,0,118,0.0,0.05,255,19,0.07,0.05,0.0,0.0,0.0,1.0,dos,dos
1,43,5,0,1,1.0,0.0,255,87,0.34,0.01,0.01,0.0,1.0,0.0,outlier,dos
1,5,1,0,116,0.0,0.07,255,8,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,9,2,0,273,0.0,0.06,255,13,0.05,0.06,0.0,0.0,0.0,1.0,dos,dos
0,14,9,520,511,0.0,0.0,46,59,1.0,0.0,1.0,0.14,0.0,0.0,dos,dos
1,22,4,76944,12,0.0,0.0,241,238,0.99,0.01,0.0,0.0,0.0,0.07,outlier,dos
1,24,2,0,2,0.0,1.0,185,59,0.24,0.03,0.01,0.03,0.01,0.89,outlier,dos
1,45,5,0,144,1.0,0.06,255,8,0.03,0.06,0.0,0.0,1.0,0.0,dos,dos
1,31,1,0,266,0.0,0.06,255,8,0.03,0.06,0.0,0.0,0.0,1.0,dos,dos
1,54,5,0,281,1.0,0.06,255,6,0.02,0.07,0.0,0.0,1.0,0.0,dos,dos
