protocol_type,service,flag,src_bytes,count,serror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_rerror_rate,actual,predict
0,13,9,20,1,0.0,0.0,3,57,1.0,0.0,1.0,0.28,0.0,0.0,outlier,probe
1,55,2,0,1,0.0,0.0,29,86,0.31,0.17,0.03,0.02,0.0,0.83,outlier,probe
1,55,5,0,120,1.0,0.0,235,171,0.73,0.07,0.0,0.0,0.69,0.02,dos,probe
2,45,9,1,40,0.0,0.38,255,3,0.01,0.58,0.99,0.0,0.0,0.01,normal,probe
1,45,1,0,483,0.05,1.0,255,1,0.0,1.0,0.0,0.0,0.0,0.96,probe,probe
1,40,1,0,412,0.15,1.0,255,1,0.0,0.96,0.0,0.0,0.1,0.89,probe,probe
1,55,1,0,4,0.0,1.0,106,85,0.29,0.05,0.01,0.02,0.02,0.91,outlier,probe
0,14,9,1480,1,0.0,0.0,1,25,1.0,0.0,1.0,0.52,0.0,0.0,dos,probe
1,43,2,0,3,0.0,1.0,189,60,0.24,0.03,0.01,0.03,0.0,0.88,outlier,probe
1,40,1,0,1,0.0,0.0,255,13,0.05,0.02,0.0,0.0,0.0,0.06,outlier,probe
1,45,10,0,1,1.0,0.0,30,1,0.03,1.0,1.0,0.0,1.0,0.0,probe,probe
1,40,5,0,497,0.0,1.0,255,1,0.0,1.0,0.0,0.0,0.01,0.99,probe,probe
1,45,10,0,1,1.0,0.0,80,1,0.01,1.0,1.0,0.0,1.0,0.0,probe,probe
0,13,9,8,1,0.0,0.0,2,98,1.0,0.0,1.0,0.5,0.0,0.0,probe,probe
1,40,1,0,461,0.08,1.0,255,1,0.0,1.0,0.0,0.0,0.04,0.96,probe,probe
1,45,1,0,510,0.01,1.0,255,1,0.0,1.0,0.0,0.0,0.02,0.97,probe,probe
