protocol_type,service,flag,src_bytes,count,serror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_rerror_rate,actual,predict
1,19,9,12,2,0.0,0.0,2,4,1.0,0.0,1.0,0.5,0.0,0.0,r2l,r2l
1,19,9,0,1,0.0,0.0,1,11,1.0,0.0,1.0,0.27,0.0,0.0,outlier,r2l
1,19,9,0,2,0.0,0.0,2,8,1.0,0.0,1.0,0.25,0.0,0.0,u2r,r2l
1,19,9,283618,1,0.0,0.0,1,8,1.0,0.0,1.0,0.38,0.0,0.0,r2l,r2l
1,19,9,283618,2,0.0,0.0,2,4,1.0,0.0,1.0,0.5,0.0,0.0,r2l,r2l
1,19,9,12,1,0.0,0.0,1,5,1.0,0.0,1.0,0.4,0.0,0.0,r2l,r2l
1,19,9,283618,1,0.0,0.0,1,2,1.0,0.0,1.0,1.0,0.0,0.0,r2l,r2l
1,19,9,12,1,0.0,0.0,1,7,1.0,0.0,1.0,0.43,0.0,0.0,r2l,r2l
1,19,9,12,1,0.0,0.0,1,2,1.0,0.0,1.0,1.0,0.0,0.0,r2l,r2l
1,22,7,0,2,1.0,0.0,2,245,1.0,0.0,0.5,0.04,1.0,0.0,normal,r2l
1,22,9,243,1,0.0,0.0,1,5,1.0,0.0,1.0,0.6,0.0,0.0,normal,r2l
1,19,9,12,1,0.0,0.0,1,3,1.0,0.0,1.0,0.67,0.0,0.0,r2l,r2l
1,19,9,12,1,0.0,0.0,1,8,1.0,0.0,1.0,0.38,0.0,0.0,r2l,r2l
1,19,9,283618,2,0.0,0.0,2,8,1.0,0.0,1.0,0.38,0.0,0.0,r2l,r2l
1,19,9,0,3,0.0,0.0,3,9,1.0,0.0,1.0,0.22,0.0,0.0,u2r,r2l
1,19,9,12,2,0.0,0.0,2,3,1.0,0.0,1.0,0.67,0.0,0.0,r2l,r2l
1,19,9,12,2,0.0,0.0,4,5,1.0,0.0,1.0,0.4,0.0,0.0,r2l,r2l
2,11,9,17,1,0.0,0.0,1,2,1.0,0.0,1.0,1.0,0.0,0.0,normal,r2l
1,49,9,1816,1,0.0,0.0,23,171,0.87,0.13,0.04,0.02,0.04,0.22,normal,r2l
1,19,9,283618,1,0.0,0.0,1,4,1.0,0.0,1.0,0.75,0.0,0.0,r2l,r2l
1,19,9,283618,1,0.0,0.0,1,5,1.0,0.0,1.0,0.4,0.0,0.0,r2l,r2l
1,19,9,12,1,0.0,0.0,3,5,1.0,0.0,1.0,0.4,0.0,0.0,r2l,r2l
1,22,9,144,1,0.0,0.0,1,5,1.0,0.0,1.0,0.6,0.0,0.0,normal,r2l
1,19,9,0,1,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,r2l,r2l
1,19,9,0,1,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,outlier,r2l
1,49,9,1036,1,0.0,0.0,3,3,1.0,0.0,0.33,0.0,0.0,0.33,normal,r2l
